validator index ,validator public address,Protocol,stack,tailscale dns,AI Monitoring containers1,AI Monitoring containers2,AI Monitoring containers3,AI Monitoring containers4
1907464,0x92d25b6766f0fa2ef52fe45693b981cd0cccbeb35811d199a9b185e72270bb15a63041d9d94bc45ef9799b4204ce556b,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907456,0xa84bd351be66a6bf758bd7df7f7aa3914651d32babe7255ec3b0bc335c999e9413440b90c4d829971a709ffab84d25ae,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907457,0xa94ea5403fc0fc31f6cd74f63691034a99c266cd3f956a3f8195de7cfb94bcb7994e3b415a1ef78409d7fb6a86cdbc9c,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907509,0xaf5b758df732cc48f717a2a81a097dad12cceed069ce19fdd9125867bc72f464a416ec9b8945df483805908f1fa4eb35,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907431,0xb8ccf7ffd0d7d3e9edaff878881087684346c539ba38d2133d665d1c6e10990b7d71e5620fa4c60248d0f28212ef5261,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907520,0x911f1bf396eb751dc413901655ed3ead70bfd667f147b46b1c563c3d105563bcf0971d9b12611d2be638076a0440f413,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907487,0xb7375f80bd8bf4ff064e71575f9f588b6e3f68b92f7270374e4963e8e3e14bd4ed6b60fc3d4827f40771d22fbaa1ac5c,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907474,0x88752653d44b4cabd5484c6ad649b2da0c9ba4d2fd69aa43c5bb69d8f97fa9cdc1e9ae47a0b259bd7fbf1b9044f87206,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907473,0x98aaf5f5d34cc89e4a7263ba196588e0ee57893f753a1cc991d55a9a881eccf5e4a1ac5d2e510181ce0587efd6d1de3e,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907468,0x82ea2bb5168e10ea0701c77ffb5884c0df4c42a26e0f2f001207d2d855250cf5a30047d858d0c724b9af3ab8910194ab,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907453,0x952f82e376b80aa843257295209aeefbb0beef2c18234647aac50ddc31f36776b416b68e6c32662592f2e1111255756c,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907470,0x946dab2cd8358a80330b0291575735181434ff63ac4fa046c1a0bc369a653664960d4835aa7f15a39c130b6c2b74aa18,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907442,0x87c5c038a3755696998244561ece44456e6313cdb6e9d5374dbad2443ad5211da017e5194e9882141d1e66eed7d79dc0,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1896864,0xb0663202921a123d4332a12e66d62e3998cc9e6a8d83d651918dad225e702068dfa5ebd4c4c6df6335851639538f7cb5,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1905555,0xac18a6db3cb444ed41d2e621ff6cc9d9a15e0529189a0ac613538b33ea89b8a3fc824319574530584598ece2ba979620,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1906130,0x9406f27cfc251162d95ffb79c77db1cef7d1d8e33e545e511117063377415663d247b4c4bca1e21d445587378431e846,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1906344,0x8385d4c5097f3b0437569703fe42d4e5482dcc07f45621000782681c5f6d9e9fd5e7b18277d9dbb301519134fa2187b3,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1922650,0x8680b35a5ce6b79c93243b7207b070589ea619860a510c95ecabc768989c78b50a60e1295271c36d5d49d3f8e1166106,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1937832,0x977cfa0e876574b3c93724678cf07b25a8008ca2ca09ae5b4bfd51bf3abe06332bbf8abca491bc57117241967f43ad78,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1937833,0xa719dbb8b295dd58cfc4d5ac88bdd3a5a095b349be48226545551c59ad828b0ea2921c69678c10412944a0ff12f0cb07,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1940586,0x82f8d9829494ded685f4fa2be163012db0608eb14651c1c5c836a25f5e45653cf253f5859443b86f0e61e6292ed56820,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1940587,0xaedda486942086b0341cd4802d9d855d28b45a2f501ccd3a998c5ef00a9a0f922a5d78d4147cda6982b7690c7895fcd7,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1940588,0x8eabe2b4804e556d681425180a9bbecf493f22ee5f65c7d323ff8fea020fa61f5b1abf449c2542be481c59c9ec8c706d,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1940589,0xab8f7ef1f4f7d832e2bd7ff40cd97f55b0bd7d2fcd993e86b1cfe8c9a137d66fbc7d9a372220069ab07544edb1c50790,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1940590,0x99406db1834f91ffdac1624fe27a97c3fb30a26e1ad3f474ea2386032ca0535d3f57ebd5ac908148f289b8bf3d88f0d1,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1943952,0x96713c62c1d7e9ac7cd1e6986e6802546b66a29b517b3af84d3ad0c17af76c3f425dd732ffa76b2a4a06d968ffc3ffec,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1958559,0x8a9e9df02739ce34ed12a61fb045176ad9ac53902414e2ebd8327d5e542816c4391b4b8bfe83a46ce6cb6eedbe8385aa,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1981042,0x993992be5b9b53cc7910aee18864b1cb5af97849616cecc72bfaf4b95a6463b234ef12e0275be6b6a80118871d9bc2a8,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1981043,0x8f520652785c9ecf746c7695ab0773fe12707700251afc6a1a78da3aaa90c5a24866b523c1d0fbb4bc0ffcb751759295,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1981044,0x932407aebb6f5fdf95e5d6d2486b2234eed6aab7ecb50d5a565d34289dc520d42572f15c5ceff3ae4165d6c533b48946,node set sw,HYPERDRIVE,minipcamd3.velociraptor-scylla.ts.net,hyperdrive_sw_vc,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1635468,0x94b0b174c018163d04314d21431d910c7f30611f29423ae7fbb65587c7642509ee998f9baa4529e9fbabcf86733619a5,Rocketpool,Rocketpool,minitx.velociraptor-scylla.ts.net,rocketpool_validator,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1958892,0xb2790d140d91d55f301d220dd16fe2f69dfeaf16b1a7d50326c9d307c9bc39751d4049a7df2980922f3e58ba84dd9f4c,Stakewise Brazilpracima vault,Obol,minipcamd.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,eth-docker-consensus-1,eth-docker-execution-1
1958893,0xb5f194f913d812ad316da491af6ad6f9b74dc1b4844537cd270a7fed951570d97455562102a5096975ad572c7ef86f5f,Stakewise Brazilpracima vault,Obol,minipcamd.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,eth-docker-consensus-1,eth-docker-execution-1
